BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA;TURNO;ZONA
QUINTAS;MASC;PAR;SOLDADOR;NI_ESC;ARMA_F;ago;SEM5;dom;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;dez;SEM2;dom;ADU;MAT;Oeste
LAGOA AZUL;MASC;PAR;SEGURANÇA;NI_ESC;ARMA_B;abr;SEM2;seg;ADU;MAD;Norte
LAGOA AZUL;MASC;PAR;AUXILIAR DE COZINHA;NI_ESC;ARMA_F;jul;SEM4;ter;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;qui;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;JARDINEIRO;NI_ESC;CARBO;fev;SEM3;seg;ADU;NOT;Norte
PONTA NEGRA;MASC;PAR;ACESSOR FINANCEIRO;NI_ESC;ARMA_F;abr;SEM1;sáb;ADU;MAD;Sul
POTENGI;MASC;PAR;AGRICULTOR;NI_ESC;AMP;set;SEM1;sex;ADU;NOT;Norte
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM3;dom;ADU;NOT;Norte
ALECRIM;MASC;PAR;BORRACHEIRO;NI_ESC;ARMA_F;mai;SEM1;seg;ADU;VES;Leste
BOM PASTOR;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_B;dez;SEM5;sex;ADU;NOT;Oeste
GUARAPES;MASC;PAR;ASG;NI_ESC;ARMA_F;nov;SEM4;sex;ADU;MAT;Oeste
IGAPÓ;MASC;PAR;MECANICO;NI_ESC;ARMA_F;fev;SEM4;sáb;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;MARCENEIRO;NI_ESC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Norte
NEÓPOLIS;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;fev;SEM4;sáb;ADU;VES;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;EFI;ARMA_F;out;SEM4;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;VENDEDOR;NI_ESC;ARMA_F;mai;SEM5;dom;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM1;qua;ADU;MAT;Norte
CIDADE ALTA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM2;qua;ADU;MAT;Leste
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;PEDRA;mai;SEM2;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ELETRICISTA;NI_ESC;ARMA_F;abr;SEM2;qua;ADU;MAD;Norte
PLANALTO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;jun;SEM4;dom;ADU;MAT;Oeste
POTENGI;MASC;PAR;TECNICO;NI_ESC;PAULADA;ago;SEM2;qui;ADU;MAT;Norte
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM4;qua;ADU;VES;Oeste
REDINHA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM4;ter;ADU;NOT;Norte
BOM PASTOR;MASC;BRA;COMERCIANTE;NI_ESC;ARMA_F;dez;SEM4;sex;ADU;MAT;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ESPANC;jul;SEM5;ter;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;ago;SEM1;qui;ADU;NOT;Oeste
GUARAPES;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;nov;SEM4;sex;ADU;MAT;Oeste
LAGOA AZUL;MASC;PAR;ASG;NI_ESC;ARMA_F;mar;SEM3;qua;ADU;NOT;Norte
NOSSA SENHORA DE NAZARÉ;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;jun;SEM2;seg;ADU;MAD;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;dom;ADU;NOT;Norte
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;sex;ADU;NOT;Leste
BOM PASTOR;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;jun;SEM3;ter;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;LAVADOR DE CARRO;NI_ESC;ARMA_F;jul;SEM3;sáb;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM3;dom;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;sáb;ADU;MAT;Norte
NI_BAIRRO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM5;seg;ADU;NOT;NI_ZONA
PLANALTO;MASC;PAR;MECANICO;NI_ESC;ARMA_F;mar;SEM4;sáb;ADU;NOT;Oeste
POTENGI;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;jul;SEM3;sex;ADU;NOT;Norte
POTENGI;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;nov;SEM2;sex;ADU;MAD;Norte
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;sáb;ADU;VES;Leste
AREIA PRETA;MASC;PAR;DESEMPREGADO;NI_ESC;ESPANC;mar;SEM2;sex;ADU;MAT;Leste
MÃE LUÍZA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM2;ter;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;EFI;ARMA_B;out;SEM5;dom;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM2;seg;ADU;MAT;Norte
QUINTAS;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;jul;SEM2;seg;ADU;VES;Oeste
BOM PASTOR;MASC;NI_ETN;AUTONOMO;NI_ESC;ARMA_F;set;SEM4;dom;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;mai;SEM4;sex;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM2;sex;ADU;MAD;Oeste
MÃE LUÍZA;MASC;PAR;PENSIONISTA;NI_ESC;ARMA_F;abr;SEM2;sáb;ADU;MAD;Leste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;dez;SEM3;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;qua;ADU;NOT;Norte
PRAIA DO MEIO;FEM;PAR;COMERCIANTE;EFI;ARMA_F;out;SEM2;qua;ADU;VES;Leste
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM4;sex;ADU;VES;Oeste
LAGOA AZUL;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM3;seg;ADU;VES;Norte
MÃE LUÍZA;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;abr;SEM5;qui;ADU;MAT;Leste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;ago;SEM2;qua;ADU;MAT;Norte
PLANALTO;MASC;PAR;MECANICO;NI_ESC;ARMA_F;mai;SEM3;ter;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;POLICIAL MILITAR - RESERVA;NI_ESC;ARMA_F;out;SEM1;qua;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MARCENEIRO;NI_ESC;ARMA_F;dez;SEM4;ter;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;PEDRA;set;SEM2;dom;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;FEIRANTE;NI_ESC;ARMA_B;mai;SEM3;dom;ADU;VES;Norte
PITIMBU;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;fev;SEM2;dom;ADU;MAT;Sul
POTENGI;MASC;PAR;MONTADOR;NI_ESC;ARMA_B;jul;SEM5;dom;ADU;MAD;Norte
QUINTAS;MASC;PAR;APOSENTADO;NI_ESC;ARMA_F;ago;SEM4;sáb;ADU;NOT;Oeste
SANTOS REIS;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;nov;SEM5;qui;ADU;NOT;Leste
DIX-SEPT ROSADO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;seg;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;TECNICO DE REFRIGERACAO;NI_ESC;ARMA_F;mar;SEM2;ter;ADU;MAT;Norte
MÃE LUÍZA;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;abr;SEM3;qua;ADU;NOT;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;sáb;ADU;VES;Norte
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM2;dom;ADU;NOT;Oeste
SALINAS;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;out;SEM3;qui;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MUSICO;NI_ESC;ARMA_F;mai;SEM4;qui;ADU;NOT;Norte
QUINTAS;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;dez;SEM5;sáb;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;CAPOTEIRO;NI_ESC;ARMA_F;dez;SEM1;sáb;ADU;MAT;Oeste
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM4;dom;ADU;MAT;Norte
NORDESTE;MASC;PAR;MOTOBOY;NI_ESC;ARMA_F;set;SEM3;qua;ADU;VES;Oeste
NOSSA SENHORA DE NAZARÉ;MASC;PAR;MOTORISTA UBER;NI_ESC;ARMA_B;abr;SEM2;dom;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM3;qua;ADU;VES;Norte
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;qui;ADU;NOT;Oeste
LAGOA NOVA;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;mar;SEM3;ter;ADU;MAT;Sul
NI_BAIRRO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;ter;ADU;MAT;NI_ZONA
PLANALTO;MASC;PAR;PROFESSOR;SUP;ARMA_B;dez;SEM3;sex;ADU;NOT;Oeste
QUINTAS;MASC;PAR;GARÇON;NI_ESC;ARMA_F;set;SEM3;qui;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;MOTORISTA;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;MAD;Norte
PLANALTO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;out;SEM4;qui;ADU;MAT;Oeste
PLANALTO;MASC;PAR;PINTOR;NI_ESC;ARMA_F;mar;SEM5;dom;ADU;MAT;Oeste
REDINHA;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;mar;SEM2;seg;ADU;NOT;Norte
CIDADE DA ESPERANÇA;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;ago;SEM3;qui;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;PINTOR;NI_ESC;ARMA_B;set;SEM1;sáb;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;VIGIA;NI_ESC;ARMA_F;jan;SEM3;qua;ADU;MAT;Oeste
LAGOA AZUL;MASC;PAR;POLICIAL MILITAR - RESERVA;NI_ESC;ARMA_F;jan;SEM1;qua;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;ter;ADU;MAD;Norte
POTENGI;MASC;PAR;GUARDA MUNICIPAL;NI_ESC;ARMA_F;fev;SEM3;ter;ADU;MAT;Norte
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM2;qua;ADU;VES;Oeste
MÃE LUÍZA;MASC;PAR;DESEMPREGADO;NI_ESC;PEDRA;abr;SEM5;sáb;ADU;NOT;Leste
PAJUÇARA;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;ago;SEM4;seg;ADU;NOT;Norte
PLANALTO;MASC;PAR;JARDINEIRO;NI_ESC;ARMA_F;jun;SEM1;sex;ADU;VES;Oeste
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM3;sex;ADU;MAT;Norte
CIDADE DA ESPERANÇA;MASC;BRA;COMERCIANTE;NI_ESC;ARMA_F;fev;SEM1;sex;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;mai;SEM3;ter;ADU;MAD;Oeste
LAGOA AZUL;MASC;PAR;PEDREIRO;NI_ESC;ARMA_B;ago;SEM5;dom;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mai;SEM4;qui;ADU;MAD;Norte
NOSSA SENHORA DE NAZARÉ;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;fev;SEM3;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;NI_PROF;NI_ESC;ESPANC;mai;SEM1;ter;ADU;NOT;Oeste
QUINTAS;MASC;PAR;COMERCIANTE / LAVAR JATO;NI_ESC;ARMA_F;jun;SEM1;sáb;ADU;VES;Oeste
QUINTAS;MASC;PAR;POLICIAL MILITAR - RESERVA;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;mar;SEM5;qui;ADU;NOT;Oeste
MÃE LUÍZA;MASC;PAR;VIGILANTE PARTICULAR;NI_ESC;ARMA_F;jan;SEM3;qui;ADU;VES;Oeste
POTENGI;MASC;PAR;MOTORISTA;NI_ESC;ARMA_F;ago;SEM3;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;abr;SEM2;sex;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;qui;ADU;MAT;Norte
CIDADE DA ESPERANÇA;FEM;PAR;PENSIONISTA;NI_ESC;ARMA_F;mai;SEM4;sex;ADU;VES;Oeste
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;mai;SEM4;ter;ADU;MAT;Sul
NEÓPOLIS;MASC;PAR;SERVIDOR PUBLICO;NI_ESC;ARMA_F;mai;SEM1;ter;ADU;VES;Sul
PLANALTO;MASC;PAR;JARDINEIRO;NI_ESC;ARMA_F;jun;SEM1;sex;ADU;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_B;out;SEM4;qua;ADU;NOT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM3;seg;ADU;VES;Sul
CIDADE DA ESPERANÇA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;POLICIAL MILITAR - RESERVA;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;VIGILANTE;NI_ESC;ARMA_F;dez;SEM5;sáb;ADU;VES;Oeste
CAPIM MACIO;MASC;PAR;ADVOGADO;NI_ESC;ARMA_F;nov;SEM2;qua;ADU;MAT;Sul
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;abr;SEM3;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;MOTORISTA;NI_ESC;ARMA_B;jan;SEM5;dom;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;MECANICO;EFI;ARMA_B;dez;SEM4;sáb;ADU;VES;Norte
PONTA NEGRA;MASC;PAR;MOTORISTA;NI_ESC;ARMA_F;abr;SEM3;dom;ADU;MAD;Sul
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;;set;SEM3;sáb;IDO;MAD;Norte
RIBEIRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM5;qua;IDO;MAD;Leste
BOM PASTOR;MASC;PAR;GESSEIRO;NI_ESC;ARMA_F;abr;SEM2;sex;IDO;NOT;Oeste
MÃE LUÍZA;MASC;PAR;ELETRICISTA;NI_ESC;ARMA_F;jul;SEM5;sáb;IDO;VES;Oeste
LAGOA AZUL;MASC;PAR;MARCENEIRO;NI_ESC;ARMA_F;out;SEM1;sáb;IDO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;APOSENTADO;NI_ESC;AMP;mai;SEM1;sáb;IDO;MAT;Norte
REDINHA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM3;seg;IDO;MAT;Norte
ALECRIM;MASC;PAR;APOSENTADO;NI_ESC;ARMA_F;nov;SEM5;ter;IDO;MAT;Leste
